model,time_mean,time_std,time_median,time_q1,time_q3,epoch_time_mean,epoch_time_std,epoch_time_median,epoch_time_q1,epoch_time_q3
vit_b_16,626.2117687225342,117.65211405757033,572.1167516708374,539.3495035171509,747.1369450092316,28.69790088425406,0.21556087641110902,28.708634853363037,28.60583758354187,28.736036346508907
swin_b,947.6646638393402,144.74317418899432,880.3747940063477,841.1335258483887,1043.974282503128,39.83278181715484,0.30240274842749093,40.01703609119762,39.53604397773743,40.05397742135184
beit_b_16,851.1060102939606,101.68311119119863,829.3674929141998,799.3354232311249,960.1701829433441,30.61328267413171,0.2634867883996992,30.717314552377772,30.397039019543193,30.743670124274033
deit_b_16,899.3193603038787,218.74716327807997,779.6424901485443,776.3089301586151,912.3544881343842,27.602864623717814,0.17951351798918203,27.647105701041944,27.434330607453983,27.725318934236252
vgg19,762.1435202121735,288.8793612135075,665.3675463199615,561.2058990001678,698.93434715271,20.700801136420967,0.09931850859425942,20.763446502387524,20.60552712723061,20.785403666672885
resnet50,533.455392074585,93.97627058560192,572.0261225700378,483.7056579589844,594.5033762454987,14.995292791659859,0.09354243976812061,15.032378978729248,14.91237974721332,15.053319015000996
efficientnetv2_m,958.3887118816376,280.1845001986083,970.6494102478027,689.0961711406708,1045.1481544971466,38.627096750153996,0.18325946506804047,38.6843210809371,38.632874733692894,38.709190907301725
convnext_b,1091.9873704433442,347.5879243536627,1014.7620098590851,881.0846674442291,1021.8200314044952,46.233576927438705,0.23530002346313927,46.3728772339068,46.12554590268569,46.403690670665945
