model,time_mean,time_std,time_median,time_q1,time_q3,epoch_time_mean,epoch_time_std,epoch_time_median,epoch_time_q1,epoch_time_q3
vit_b_16,796.4079188346863,194.92131401039788,754.9286754131317,677.8374714851379,880.5980045795441,34.055770825774246,0.18411280699440252,33.96642675544276,33.8918735742569,34.236459985375404
swin_b,1763.3062904834746,659.553956624217,1590.3843741416931,1127.23055768013,2198.060273170471,46.94869650985648,0.2276140470749729,46.85171719789505,46.776011004167444,46.96793990333875
beit_b_16,807.8318758010864,119.4293361830378,764.846257686615,726.3301515579224,828.7622418403625,36.37145796488271,0.22338796654467924,36.355357571652064,36.31650757789612,36.421250366029284
deit_b_16,752.8866773128509,128.5259583432967,812.5898902416229,617.4655215740204,843.4156336784363,32.453925732224214,0.039928747831679684,32.43906283378601,32.4243635336558,32.49818534600107
vgg19,887.5630608558655,259.94480236209915,733.8624699115753,707.501471042633,1026.6449656486511,24.402891175377135,0.07921571344032073,24.443927753539313,24.396602449745966,24.460171937942505
resnet50,702.5694030761719,260.81624994166043,863.1651697158813,402.16441464424133,875.7912306785583,17.798202928430896,0.1672818995170935,17.847354343959264,17.802352841411317,17.873290422011394
efficientnetv2_m,1401.1571189880372,531.3221936018161,1212.4213128089905,1053.492198228836,1986.290465593338,45.44764890632559,0.7747640433750425,45.14296512712132,44.90449306699965,45.80400861864505
convnext_b,1075.7416879177094,191.61419542723954,1095.3102197647095,930.3550388813019,1151.6817393302917,54.863070032627306,0.15593183986339246,54.81656732559204,54.76551098823548,54.84198758715675
